Map,Num_Agents,Avg_Steps,Collision_Frequency,Success_Rate
1,1,3.0,0.0,1.0
1,2,6.0,0.0,1.0
1,3,6.0,1.0,1.0
1,4,8.0,0.0,1.0
2,1,5.0,0.0,1.0
2,2,7.0,0.0,1.0
2,3,4.0,1.0,1.0
2,4,4.0,0.0,1.0
3,1,6.0,0.0,1.0
3,2,6.0,0.0,1.0
3,3,7.0,0.0,1.0
3,4,7.0,1.0,1.0
4,1,5.0,0.0,1.0
4,2,10.0,0.0,1.0
4,3,8.0,0.0,1.0
4,4,10.0,0.0,1.0
5,1,3.0,0.0,1.0
5,2,8.0,1.0,1.0
5,3,11.0,0.0,1.0
5,4,11.0,1.0,1.0
6,1,11.0,0.0,1.0
6,2,18.0,0.0,1.0
6,3,16.0,0.0,1.0
6,4,16.0,0.0,1.0
